Open Shifts Report for New York Market (1/6/2020 - 1/31/2020),,,,,,
Date,Location,Shift Name,Start,End,Hours,Comments
1/12/2020,NY Port Jefferson Staff: 601S,Scribe,9:00 AM,5:00 PM,8,
1/12/2020,NY Ridgewood Staff: 113S,Scribe,11:00 AM,5:00 PM,6,
1/12/2020,NY Riverhead Staff: 147S,Scribe,9:00 AM,5:00 PM,8,
1/12/2020,NY Roslyn Staff: 119S,Scribe,8:00 AM,2:00 PM,6,
1/12/2020,NY Smithtown Staff: 135S,Scribe,9:00 AM,5:00 PM,8,
1/12/2020,NY Syosset Staff: 107S,Scribe,9:00 AM,5:00 PM,8,
1/12/2020,NY Tarrytown Staff: 123S,MA,9:00 AM,5:00 PM,8,
1/12/2020,NY Training: Staff: 100TRNS,Train,9:00 AM,5:00 PM,8,
1/12/2020,NY West Islip Staff: 114S,Scribe,9:00 AM,5:00 PM,8,
1/12/2020,NY Yorktown Heights Staff: 122S,MA,9:00 AM,5:00 PM,8,
1/13/2020,NY Dongan Hills Staff: 111S,RT,8:00 AM,8:00 PM,12,
1/13/2020,NY Dongan Hills Staff: 111S,Scribe,2:00 PM,8:00 PM,6,
1/13/2020,NY Eltingville Staff: 152S,Scribe,2:00 PM,8:00 PM,6,
1/13/2020,NY Elwood Staff: 103S,MA,2:00 PM,8:00 PM,6,
1/13/2020,NY Glen Cove Staff: 160S,RT,4:00 PM,8:00 PM,4,
1/13/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/13/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/13/2020,NY Great Kills Staff: 109S,Scribe,2:00 PM,8:00 AM,18,
1/13/2020,NY Great Neck Staff: 144S,Scribe,8:00 AM,8:00 PM,12,
1/13/2020,NY Huntington Staff: 161S,MA,8:00 AM,8:00 PM,12,
1/13/2020,NY Huntington Station Staff: 126S,MA,8:00 AM,2:00 PM,6,
1/13/2020,NY Levittown Staff: 120S,MA,8:00 AM,8:00 PM,12,
1/13/2020,NY Oceanside Staff: 151S,Scribe,8:00 AM,8:00 PM,12,
1/13/2020,NY Plainview Staff: 105S,Scribe,8:00 AM,8:00 PM,12,
1/13/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/13/2020,NY Port Washington Staff: 143S,MA,8:00 AM,8:00 PM,12,
1/13/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/13/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/13/2020,NY West Islip Staff: 114S,Scribe,8:00 AM,8:00 PM,12,
1/14/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/14/2020,NY Bridgehampton Staff: 148S,MA,2:00 PM,8:00 PM,6,
1/14/2020,NY Dongan Hills Staff: 111S,MA,8:00 AM,8:00 PM,12,
